"ReplayID";"ClientVersion";"DateTime";"BattleType";"MapName";"MapResp";"PlayerID";"PlayerName";"PlayerTank";"isPremium";"isPlatoon";"PlayerShots";"PlayerFrags";"PlayerDamageDealt";"PlayerSpots";"PlayerBaseCap";"PlayerBaseDef";"PlayerMileage";"API_PlayerBattles";"API_PlayerWins";"ReplayUrl"
12324925;"[1.6.0]";"10.08.2019 18:26";"Случайный бой";"34_redshire";"II";12373795;"_Graf_MonteCristo_";"france:F09_AMX_50_120";1;0;7;0;1502;0;0;0;1,1800000000;47226;24015;"http://wotreplays.ru/site/12324925"
12324926;"[1.6.0]";"10.08.2019 18:31";"Случайный бой";"28_desert";"II";25214225;"jonny_catsvich";"germany:G113_SP_I_C";1;0;14;4;2131;5;0;0;3,9600000000;43866;22779;"http://wotreplays.ru/site/12324926"
12324928;"[1.6.0]";"10.08.2019 18:30";"Случайный бой";"05_prohorovka";"II";18922833;"IconOfDeath";"france:F100_Panhard_EBR_90";1;0;17;3;2300;9;0;0;8,8100000000;56594;32158;"http://wotreplays.ru/site/12324928"
12324930;"[1.6.0]";"10.08.2019 18:38";"Случайный бой";"04_himmelsdorf";"II";39601550;"Smile_KO";"sweden:S16_Kranvagn";1;0;28;7;5716;0;0;0;2,5700000000;49842;25843;"http://wotreplays.ru/site/12324930"
12324931;"[1.6.0]";"10.08.2019 18:37";"Случайный бой";"33_fjord";"II";47299679;"misna666_2015";"ussr:R88_Object268";1;0;8;2;3494;2;0;0;0,9600000000;12089;5548;"http://wotreplays.ru/site/12324931"
12324932;"[1.6.0]";"10.08.2019 18:39";"Случайный бой";"112_eiffel_tower_ctf";"II";66319749;"Awik_One_shot";"uk:GB72_AT15";1;2;22;2;3693;0;0;0;1,5900000000;10356;5156;"http://wotreplays.ru/site/12324932"
12324933;"[1.6.0]";"10.08.2019 18:41";"Случайный бой";"01_karelia";"I";310991;"Typhus";"germany:G114_Rheinmetall_Skorpian";1;0;16;4;4577;1;0;0;1,3300000000;27606;14742;"http://wotreplays.ru/site/12324933"
12324934;"[1.6.0]";"10.08.2019 18:41";"Случайный бой";"95_lost_city_ctf";"II";3109956;"Anti_cTpecc";"france:F107_Hotchkiss_EBR";1;0;13;5;2081;6;0;0;3,7900000000;22598;10470;"http://wotreplays.ru/site/12324934"
12324936;"[1.6.0]";"10.08.2019 17:38";"Случайный бой";"112_eiffel_tower_ctf";"II";17264530;"prostokoss";"uk:GB32_Tortoise";1;0;9;1;1903;0;0;0;1,1900000000;43332;21139;"http://wotreplays.ru/site/12324936"
12324937;"[1.5.1]";"12.06.2019 06:19";"Случайный бой";"63_tundra";"I";97822;"superzloytankist";"poland:Pl03_PzV_Poland";0;0;15;2;1328;1;0;0;1,7900000000;38325;19823;"http://wotreplays.ru/site/12324937"
12324938;"[1.6.0]";"10.08.2019 18:42";"Случайный бой";"23_westfeld";"I";4991192;"H4sta_la_vista_baby";"germany:G140_HWK_30";1;0;22;4;3309;7;0;0;5,0100000000;15214;8581;"http://wotreplays.ru/site/12324938"
12324939;"[1.6.0]";"10.08.2019 18:31";"Случайный бой";"05_prohorovka";"I";4397830;"Misterioc";"germany:G125_Spz_57_Rh";1;0;1;0;0;4;5;0;3,9100000000;26678;14452;"http://wotreplays.ru/site/12324939"
12324940;"[1.5.1]";"03.07.2019 10:29";"Случайный бой";"17_munchen";"II";97822;"superzloytankist";"italy:It11_P43";0;0;23;3;1545;2;0;0;1,4100000000;38325;19823;"http://wotreplays.ru/site/12324940"
12324942;"[1.6.0]";"09.08.2019 20:02";"Случайный бой";"28_desert";"II";97822;"superzloytankist";"ussr:R104_Object_430_II";1;0;19;2;2759;0;0;0;2,9700000000;38325;19823;"http://wotreplays.ru/site/12324942"
12324943;"[1.6.0]";"10.08.2019 18:41";"Случайный бой";"47_canada_a";"I";13197340;"Rubilnik1973";"china:Ch14_T34_3";1;0;14;4;2578;3;0;0;1,9800000000;60847;30880;"http://wotreplays.ru/site/12324943"
12324944;"[1.6.0]";"10.08.2019 18:37";"Случайный бой";"101_dday";"II";2291907;"Bratishka64";"france:F18_Bat_Chatillon25t";1;0;11;4;2160;1;0;0;2,9100000000;33940;17055;"http://wotreplays.ru/site/12324944"
12324945;"[1.6.0]";"10.08.2019 17:49";"Случайный бой";"37_caucasus";"II";97822;"superzloytankist";"ussr:R53_Object_704";1;0;14;4;3103;1;0;0;3,6700000000;38325;19823;"http://wotreplays.ru/site/12324945"
12324946;"[1.6.0]";"10.08.2019 18:42";"Случайный бой";"17_munchen";"II";21304252;"Sprin_terr";"ussr:R17_SU-100";1;0;18;8;3348;0;0;3;0,6500000000;18051;8912;"http://wotreplays.ru/site/12324946"
12324947;"[1.6.0]";"10.08.2019 15:38";"Случайный бой";"19_monastery";"II";106064539;"Rusya_Danrouss";"ussr:R159_SU_130PM";1;0;14;7;5085;3;0;0;4,5800000000;205;100;"http://wotreplays.ru/site/12324947"
